12.03.2026 11:39:48
   359  89.07  83.05 124.63  49.7109  49.98 499.18 117.76 1176.06
   360  89.07  83.15 124.47  49.6406  49.92 498.50 117.76 1176.06
   361  89.07  83.25 124.63  49.5703  49.85 497.81 117.76 1176.06
   362  89.07  83.36 124.47  49.5703  49.85 497.81 117.76 1176.06
   363  89.07  83.47 124.52  49.5703  49.85 497.81 117.76 1176.06
   364  89.07  83.59 124.10  49.5703  49.85 497.81 117.76 1176.06
   365  89.07  83.68 124.68  49.5703  49.85 497.81 117.76 1176.06
   366  88.97  83.78 124.79  49.5703  49.85 497.81 117.76 1176.06
   367  88.97  83.87 124.63  49.4648  49.74 496.79 117.76 1176.06
   368  88.87  83.92 124.73  49.3945  49.68 496.11 117.76 1176.06
   369  88.87  83.97 124.68  49.3945  49.68 496.11 117.76 1176.06
   370  88.87  84.03 125.00  49.3594  49.64 495.77 117.76 1176.06
   371  88.76  84.11 125.11  49.2539  49.54 494.74 117.76 1176.06
   372  88.76  84.22 124.84  49.1836  49.47 494.06 117.76 1176.06
   373  88.87  84.33 125.00  49.0781  49.37 493.04 117.76 1176.06
   374  88.76  84.43 125.05  49.0430  49.33 492.70 117.76 1176.06
   375  88.76  84.53 124.95  49.0430  49.33 492.70 117.76 1176.06
   376  88.76  84.61 124.84  49.0430  49.33 492.70 117.76 1176.06
